customer_id,signup_date,plan_type,monthly_revenue,total_revenue,contract_type,tenure_months,support_tickets,usage_minutes,feature_usage_score,payment_failures,region,customer_segment,churned,churn_date
CUST-00001,2021-03-03,growth,131.83,2109.3,month-to-month,16,0,279,7,1,NA,mid-market,1,2022-06-26
CUST-00002,2021-01-14,starter,53.2,1915.19,month-to-month,36,0,321,38,0,EMEA,smb,0,
CUST-00003,2021-03-30,starter,58.26,815.65,month-to-month,14,7,490,46,0,LATAM,mid-market,0,
CUST-00004,2021-04-04,growth,161.06,966.36,multi-year,6,1,415,17,1,EMEA,mid-market,0,
CUST-00005,2022-07-01,starter,48.91,2738.71,multi-year,56,0,549,57,0,NA,mid-market,0,
CUST-00006,2021-04-25,starter,45.95,505.5,month-to-month,11,1,647,57,0,EMEA,mid-market,0,
CUST-00007,2023-03-22,enterprise,877.31,22810.01,annual,26,0,956,57,0,LATAM,enterprise,0,
CUST-00008,2021-07-06,growth,186.1,8932.96,month-to-month,48,1,339,49,1,NA,smb,1,2025-06-15
CUST-00009,2021-01-24,enterprise,1122.36,12345.91,month-to-month,11,3,574,76,0,NA,enterprise,0,
CUST-00010,2022-06-24,growth,183.5,9174.87,month-to-month,50,2,268,49,0,EMEA,mid-market,0,
CUST-00011,2023-12-23,growth,158.8,8575.04,month-to-month,54,2,585,95,0,NA,mid-market,0,
CUST-00012,2021-06-11,starter,46.37,2782.26,month-to-month,60,1,471,29,3,NA,mid-market,0,
CUST-00013,2022-02-16,starter,53.54,481.85,annual,9,2,749,88,2,APAC,mid-market,0,
CUST-00014,2022-03-28,growth,127.9,3709.21,annual,29,5,650,76,0,NA,smb,0,
CUST-00015,2021-09-28,starter,54.76,273.81,annual,5,5,756,75,1,LATAM,smb,1,2022-02-25
CUST-00016,2021-07-21,growth,178.13,2315.75,month-to-month,13,0,329,56,0,NA,smb,1,2022-08-15
CUST-00017,2021-06-04,starter,50.72,811.48,month-to-month,16,0,494,50,0,LATAM,smb,0,
CUST-00018,2023-04-13,starter,56.42,225.68,annual,4,2,720,70,0,LATAM,mid-market,0,
CUST-00019,2023-09-24,starter,50.57,556.25,annual,11,1,623,100,3,EMEA,mid-market,0,
CUST-00020,2023-12-24,starter,51.0,1937.81,month-to-month,38,2,410,47,0,EMEA,smb,0,
CUST-00021,2021-03-23,starter,59.1,295.5,month-to-month,5,2,437,51,0,NA,smb,1,2021-08-20
CUST-00022,2023-07-26,growth,134.45,8067.02,annual,60,0,600,83,0,APAC,smb,0,
CUST-00023,2022-12-16,enterprise,840.8,840.8,multi-year,1,1,712,69,3,NA,enterprise,0,
CUST-00024,2022-09-06,enterprise,1054.38,11598.21,month-to-month,11,1,281,90,0,NA,enterprise,0,
CUST-00025,2022-06-25,enterprise,839.89,6719.14,month-to-month,8,4,502,82,1,LATAM,enterprise,1,2023-02-20
CUST-00026,2021-11-27,starter,44.21,265.28,multi-year,6,2,788,74,1,LATAM,smb,0,
CUST-00027,2021-10-31,starter,58.01,464.06,month-to-month,8,0,595,57,1,LATAM,mid-market,0,
CUST-00028,2021-11-13,starter,52.62,3052.18,month-to-month,58,0,355,27,0,EMEA,smb,0,
CUST-00029,2022-05-24,enterprise,1045.5,54365.8,multi-year,52,0,806,100,0,APAC,enterprise,0,
CUST-00030,2022-04-12,growth,147.49,8259.42,annual,56,0,761,100,0,EMEA,smb,0,
CUST-00031,2024-01-04,growth,150.47,2708.47,month-to-month,18,4,388,67,2,APAC,smb,0,
CUST-00032,2022-10-05,enterprise,920.42,15647.13,month-to-month,17,0,422,50,2,LATAM,enterprise,0,
CUST-00033,2022-02-08,growth,181.81,10545.23,month-to-month,58,1,427,40,0,APAC,mid-market,0,
CUST-00034,2023-04-05,growth,145.08,5803.33,multi-year,40,0,624,55,1,APAC,smb,0,
CUST-00035,2022-03-07,growth,176.34,7758.96,month-to-month,44,3,281,34,0,LATAM,mid-market,1,2025-10-17
CUST-00036,2021-06-23,growth,183.86,5515.68,annual,30,1,366,39,0,APAC,mid-market,0,
CUST-00037,2022-05-17,growth,138.52,831.11,annual,6,3,596,58,1,LATAM,mid-market,1,2022-11-13
CUST-00038,2021-01-12,growth,150.47,4062.67,annual,27,4,618,52,0,NA,mid-market,1,2023-04-02
