month,new_customers,active_customers,churned_customers,expansion_revenue,contraction_revenue,marketing_spend,support_cost,total_revenue
2024-01-01,40,927,13,8460,3489,44449,23739.5,174136.0
2024-02-01,43,952,18,10014,3375,43558,24039.0,184870.0
2024-03-01,47,972,27,11445,3594,45232,26785.0,196501.0
2024-04-01,44,1001,15,10261,4380,47027,25105.5,206897.0
2024-05-01,44,1019,26,12237,4236,48117,25117.5,218368.0
2024-06-01,47,1041,25,13359,3231,48094,24655.5,232466.0
2024-07-01,42,1059,24,13388,3076,49364,25919.5,246168.0
2024-08-01,38,1082,15,11557,3220,49762,26130.0,258210.0
2024-09-01,38,1095,25,12863,3911,48187,25173.5,269917.0
2024-10-01,42,1116,21,11772,2937,49539,27978.0,282427.0
2024-11-01,45,1143,18,14772,3224,48931,27963.5,298340.0
2024-12-01,54,1184,13,15724,3030,51166,26643.0,317089.0
2025-01-01,42,1204,22,13768,3147,53903,25947.0,331290.0
2025-02-01,55,1242,17,14653,3627,56502,25506.0,348126.0
2025-03-01,58,1283,17,14299,4313,55322,28097.5,364327.0
2025-04-01,45,1304,24,14306,3796,58545,27652.0,378632.0
2025-05-01,46,1336,14,17721,4150,57894,29223.0,397083.0
2025-06-01,47,1357,26,17243,2985,57955,26608.5,415216.0
2025-07-01,50,1384,23,15843,3320,57662,27023.0,432304.0
2025-08-01,55,1415,24,17588,4460,59744,28653.5,450577.0
2025-09-01,50,1450,15,18850,3644,59241,30230.0,471108.0
2025-10-01,52,1488,14,20095,3313,60997,31131.0,493580.0
2025-11-01,62,1525,25,20189,2913,60309,30856.5,516851.0
2025-12-01,65,1572,18,18634,3934,60602,28139.0,538616.0
